id,last_scraped,host_location,neighbourhood_group_cleansed,latitude,longitude,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,reviews_per_month
42314600,2020-10-13,"Barcelona, Catalonia, Spain",Ciutat Vella,41.37715,2.16989,1.0,4.0,$61.00,t,6,34,64,145,2020-10-13,1,100.0,0.53
42319846,2020-10-13,"Barcelona, Catalonia, Spain",Sant Martí,41.41259,2.1783799999999998,,1.0,$25.00,t,30,60,90,365,2020-10-13,0,,
42320241,2020-10-14,"Barcelona, Catalonia, Spain",Sant Andreu,41.4361,2.18737,1.0,1.0,$20.00,t,30,60,90,365,2020-10-14,0,,
42320286,2020-10-25,"Madrid, Community of Madrid, Spain",Eixample,41.381440000000005,2.15499,1.0,2.0,$148.00,t,30,60,90,365,2020-10-25,3,73.0,0.39
42321153,2020-10-17,"Barcelona, Catalonia, Spain",Ciutat Vella,41.377720000000004,2.16673,,1.0,$40.00,t,28,58,88,363,2020-10-17,0,,
42322705,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.37862,2.14933,1.0,,$18.00,t,30,60,90,365,2020-10-13,0,,
42322753,2020-10-14,"Barcelona, Catalonia, Spain",Sant Martí,41.39412,2.18764,1.0,1.0,$25.00,t,0,0,6,6,2020-10-14,7,91.0,0.91
42323806,2020-10-16,"Barcelona, Catalonia, Spain",Gràcia,41.40502,2.17015,1.0,1.0,$35.71,t,29,59,89,179,2020-10-16,5,100.0,0.64
42327970,2020-10-15,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37276,2.14261,1.0,1.0,$14.00,t,29,59,89,179,2020-10-15,0,,
42328276,2020-10-14,"Barcelona, Catalonia, Spain",Horta-Guinardó,41.41179,2.16348,3.0,3.0,$60.00,t,30,60,90,365,2020-10-14,0,,
42332064,2020-10-14,"Barcelona, Catalonia, Spain",Sant Martí,41.39886,2.19639,1.0,,$40.00,t,0,0,0,0,2020-10-14,0,,
42333415,2020-10-13,ES,Ciutat Vella,41.38499,2.18312,1.0,1.0,$23.00,t,30,49,49,49,2020-10-13,11,89.0,1.45
